Id,Artist,Title,Wks,T10,PK,Pkstreams,Total,ReleaseDate,Popularity,Genre,Unique_Listener
1,The Weeknd,Blinding Lights,304,64,1,"52,375,259","4,983,733,373",3/20/2020,89,"acoustic rock, flamenco, flamenco nuevo, folk rock, jazz fusion, latin, nuevo flamenco, world",2180511
2,Ed Sheeran,Shape of You,381,34,1,"64,217,796","4,026,397,140",3/3/2017,88,"dance-pop, folk, folk pop, guitarist, music for soccer moms, persian pop, pop, singer, singer-songwriter, soft rock, uk",1237055
3,Harry Styles,As It Was,176,60,1,"78,460,903","3,952,254,943",5/20/2022,87,"hip hop, rap, pop",1842227
4,Lewis Capaldi,Someone You Loved,334,15,4,"24,962,682","3,863,377,350",5/17/2019,87,"blue-eyed soul, pop, scottish, singer-songwriter",994310
5,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,325,31,1,"34,579,416","3,602,534,519",12/14/2018,82,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",1637471
6,The Neighbourhood,Sweater Weather,290,30,16,"21,624,450","3,451,043,220",4/22/2013,91,"alternative rock, indie pop, tumblr",2698243
7,Billie Eilish,lovely,383,21,24,"14,081,242","3,370,150,610",4/19/2018,87,"2010s, 2020s, alt-pop, alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, dark pop, electronic, electronica, electropop, gen z, indie pop, nepo baby, pity pop, pop, pop rock, pop soul, queer, singer-songwriter",87015
8,Imagine Dragons,Believer,422,20,16,"16,864,827","3,327,246,512",6/23/2017,87,electronic,1166235
9,Ed Sheeran,Perfect,414,15,4,"24,763,619","3,331,984,067",6/27/2024,59,"dance-pop, folk, folk pop, guitarist, music for soccer moms, persian pop, pop, singer, singer-songwriter, soft rock, uk",969875
10,The Weeknd,Starboy,274,21,1,"35,360,281","3,322,003,875",11/25/2016,89,"2010s, 2020s, alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pop, r&b, synth-pop",2131976
11,The Weeknd,Blinding Lights,304,64,1,"52,375,259","4,983,733,373",3/20/2020,89,"acoustic rock, flamenco, flamenco nuevo, folk rock, jazz fusion, latin, nuevo flamenco, world",2180511
12,Ed Sheeran,Shape of You,381,34,1,"64,217,796","4,026,397,140",3/3/2017,88,"dance-pop, folk, folk pop, guitarist, music for soccer moms, persian pop, pop, singer, singer-songwriter, soft rock, uk",1237055
13,Harry Styles,As It Was,176,60,1,"78,460,903","3,952,254,943",5/20/2022,87,"hip hop, rap, pop",1842227
14,Lewis Capaldi,Someone You Loved,334,15,4,"24,962,682","3,863,377,350",5/17/2019,87,"blue-eyed soul, pop, scottish, singer-songwriter",994310
15,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,325,31,1,"34,579,416","3,602,534,519",12/14/2018,82,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",1637471
16,The Neighbourhood,Sweater Weather,290,,16,"21,624,450","3,451,043,220",4/22/2013,91,"alternative rock, indie pop, tumblr",2698243
17,Billie Eilish,lovely,383,,24,"14,081,242","3,370,150,610",4/19/2018,87,"2010s, 2020s, alt-pop, alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, dark pop, electronic, electronica, electropop, gen z, indie pop, nepo baby, pity pop, pop, pop rock, pop soul, queer, singer-songwriter",87015
18,Imagine Dragons,Believer,422,,16,"16,864,827","3,327,246,512",6/23/2017,87,"alternative pop, alternative rock, electropop, indie pop, indietronica, nuno, pop, pop rock, rock",1166235
19,Ed Sheeran,Perfect,414,15,4,"24,763,619","3,331,984,067",6/27/2024,59,"dance-pop, folk, folk pop, guitarist, music for soccer moms, persian pop, pop, singer, singer-songwriter, soft rock, uk",969875
20,The Weeknd,Starboy,274,21,1,"35,360,281","3,322,003,875",11/25/2016,89,"2010s, 2020s, alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pop, r&b, synth-pop",2131976
21,The Kid LAROI,Stay,175,43,1,"70,502,410","3,261,615,570",7/9/2021,80,"emo rap, english, hip hop, pop rap, rap",38001
22,Billie Eilish,BIRDS OF A FEATHER,71,66,1,"66,726,270","3,032,131,526",5/17/2024,94,"2010s, 2020s, alt-pop, alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, dark pop, electronic, electronica, electropop, gen z, indie pop, nepo baby, pity pop, pop, pop rock, pop soul, queer, singer-songwriter",2006644
23,Glass Animals,Heat Waves,194,37,1,"31,668,100","3,002,545,699",8/7/2020,86,"electronic, english, indie, indie pop, indie rock, indietronica, pop, psychedelic pop, psychedelic rock, trip-hop, uk",1414443
24,Lady Gaga,Die With A Smile,58,55,1,"78,624,101","2,963,814,968",8/16/2024,92,"2000s, 2010s, 2020s, adult contemporary, americana, dance, dance-pop, electro house, electronic, electropop, film soundtrack, industrial pop, jazz, late 2000s, millennial, pop, pop rock, synth-pop, synthpop",1585624
25,Drake,One Dance,282,26,1,"47,782,311","2,856,535,440",5/6/2016,87,"hip hop, rap, pop",1725791
26,Tom Odell,Another Love,233,,15,"20,219,891","2,802,580,638",6/24/2013,87,"indie folk, indie pop, singer-songwriter",1345942
27,Arctic Monkeys,I Wanna Be Yours,168,,15,"21,021,481","2,793,423,185",9/9/2013,91,"alternative rock, art rock, baroque pop, british, garage rock, garage rock revival, indie rock, neo-psychedelia, post-punk revival, psychedelic pop, psychedelic rock, sheffield, uk",2383996
28,Taylor Swift,Cruel Summer,138,37,2,"35,517,192","2,650,913,479",8/23/2019,88,"special purpose, special purpose artist",1596156
29,Harry Styles,Watermelon Sugar,225,18,4,"28,265,526","2,600,844,950",12/13/2019,83,"2020s, funk, new wave, nuno, pop, rock, soft rock, soul, synth-pop",1404288
30,James Arthur,Say You Won't Let Go,352,15,7,"19,297,939","2,581,216,939",10/28/2016,86,"hip hop, rap, pop",884575
31,Coldplay,Yellow,249,,19,"19,818,571","2,588,953,124",7/10/2000,91,"alternative rock, ambient pop, art pop, big music, britannique, british, britpop, chapel, dream pop, english, indie pop, indie rock, parlophone, piano pop, piano rock, pop, pop rock, pop/rock, post-britpop, rock, rock and indie, uk",3375560
32,Tones And I,Dance Monkey,151,41,1,"52,055,226","2,538,070,349",10/17/2019,74,"dance-pop, electropop, english, indie pop, pop soul",716120
33,Sabrina Carpenter,Espresso,76,32,1,"76,427,890","2,523,306,461",4/12/2024,85,"2020s, dance-pop, electropop, pop",1973241
34,Vance Joy,Riptide,372,,16,"16,836,644","2,485,834,943",9/8/2014,81,"alternative rock, folk pop, indie folk, indie pop, singer-songwriter",1951098
35,Miley Cyrus,Flowers,115,25,1,"115,156,896","2,459,389,429",8/18/2023,85,"2010s, contemporary r&b, dance-pop, electropop, pop, pop rock, power pop, queer, rock, teen pop",1116518
36,Benson Boone,Beautiful Things,88,30,1,"55,391,293","2,469,636,608",1/18/2024,84,"2020s, pop, pop rock",857167
