Id,Artist,Title,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Total,ReleaseDate,Unique_Listener,Year,Recency,log_Total,log_Total_norm,Unique_norm,Recency_norm,SongScore,MainGenre,Genre
1,The Weeknd,Blinding Lights,,,,,4983733373,3/20/2020,2180511,2020.0,0.9375,22.32944512,1.0,0.569711885,0.9375,85.84135654,Folk / Country,"acoustic rock, folk rock, jazz fusion"
2,Ed Sheeran,Shape of You,,,,,4026397140,3/3/2017,1237055,2017.0,0.9,22.1161378,0.979299051,0.32321068,0.9,76.66127296,Folk / Country,soft pop
3,Harry Styles,As It Was,,,,,3952254943,5/20/2022,1842227,2022.0,0.9625,22.09755212,0.977495357,0.481326826,0.9625,82.56457264,Pop,"pop, rock, soft rock, soul, synth-pop"
4,Lewis Capaldi,Someone You Loved,,,,,3863377350,5/17/2019,994310,2019.0,0.925,22.0748076,0.975288057,0.259787547,0.925,75.05802927,Other,soft pop
5,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,,,,,3602534519,12/14/2018,1637471,2018.0,0.9125,22.00490347,0.968504034,0.427829259,0.9125,79.51007946,Hip-Hop / Rap,"country, r&b, cloud rap, alternative r&b, contemporary r&b"
6,The Neighbourhood,Sweater Weather,,,,,3451043220,4/22/2013,2698243,2013.0,0.85,21.96194241,0.964334769,0.704982169,0.85,86.36620351,Indie / Alternative,"alternative rock, indie pop"
7,Billie Eilish,lovely,,,,,3370150610,4/19/2018,87015,2018.0,0.9125,21.93822327,0.962032885,0.022734297,0.9125,67.03367319,Indie / Alternative,"art pop, indie pop, alternative pop, dark pop, electronic"
8,Imagine Dragons,Believer,,,,,3327246512,6/23/2017,1166235,2017.0,0.9,21.92541093,0.960789479,0.304707204,0.9,75.18069005,Electronic / EDM,"pop, electropop, rock, alternative rock, indie pop"
9,Ed Sheeran,Perfect,,,,,3331984067,6/27/2024,969875,2024.0,0.9875,21.92683378,0.960927563,0.253403299,0.9875,75.39847713,Folk / Country,soft pop
10,The Weeknd,Starboy,,,,,3322003875,11/25/2016,2131976,2016.0,0.8875,21.92383401,0.960636443,0.557030916,0.8875,82.49274965,Indie / Alternative,"hypnagogic pop, pop, r&b, alternative r&b, synth-pop"
21,The Kid LAROI,Stay,,,,,3261615570,7/9/2021,38001,2021.0,0.95,21.90548848,0.958856055,0.009928178,0.95,67.24064809,Hip-Hop / Rap,"emo rap, pop rap, rap"
22,Billie Eilish,BIRDS OF A FEATHER,,,,,3032131526,5/17/2024,2006644,2024.0,0.9875,21.83253168,0.951775777,0.524284832,0.9875,83.06733384,Indie / Alternative,"dark pop, alternative r&b, electronic, electropop, pop rock"
23,Glass Animals,Heat Waves,,,,,3002545699,8/7/2020,1414443,2020.0,0.9375,21.82272633,0.950824192,0.36955768,0.9375,77.37794002,Indie / Alternative,"indie pop, psychedelic rock, psychedelic pop, indie rock, pop"
24,Lady Gaga,Die With A Smile,,,,,2963814968,8/16/2024,1585624,2024.0,0.9875,21.80974312,0.949564203,0.414282949,0.9875,79.65669862,Pop,"art pop, pop"
25,Drake,One Dance,,,,,2856535440,5/6/2016,1725791,2016.0,0.8875,21.77287534,0.945986277,0.450905043,0.8875,78.57646512,Pop,rap
26,Tom Odell,Another Love,,,,,2802580638,6/24/2013,1345942,2013.0,0.85,21.75380649,0.944135691,0.3516601,0.85,74.75658758,Indie / Alternative,"indie folk, indie pop"
27,Arctic Monkeys,I Wanna Be Yours,,,,,2793423185,9/9/2013,2383996,2013.0,0.85,21.75053363,0.943818069,0.622877371,0.85,82.87722458,Rock,"indie, garage rock"
28,Taylor Swift,Cruel Summer,,,,,2650913479,8/23/2019,1596156,2019.0,0.925,21.69817013,0.93873632,0.417034694,0.925,77.94785682,Other,"synth-pop, country, alternative pop, electropop, contemporary country"
29,Harry Styles,Watermelon Sugar,,,,,2600844950,12/13/2019,1404288,2019.0,0.925,21.67910221,0.936885826,0.366904435,0.925,76.35142435,Other,"pop, rock, soft rock, soul, synth-pop"
30,James Arthur,Say You Won't Let Go,,,,,2581216939,10/28/2016,884575,2016.0,0.8875,21.67152681,0.936150652,0.231116565,0.8875,71.49102954,Pop,soft pop
31,Coldplay,Yellow,,,,,2588953124,7/10/2000,3375560,2000.0,0.6875,21.67451943,0.936441079,0.881947981,0.6875,87.03049335,Rock,"piano rock, dream pop, post-britpop, art pop, rock"
32,Tones And I,Dance Monkey,,,,,2538070349,10/17/2019,716120,2019.0,0.925,21.65466992,0.934514733,0.187103532,0.925,70.8388426,Indie / Alternative,"dance-pop, electropop, indie pop, pop soul"
33,Sabrina Carpenter,Espresso,,,,,2523306461,4/12/2024,1973241,2024.0,0.9875,21.64883597,0.933948562,0.515557473,0.9875,81.91415226,Pop,pop
34,Vance Joy,Riptide,,,,,2485834943,9/8/2014,1951098,2014.0,0.8625,21.63387443,0.932496582,0.509772067,0.8625,79.16799108,Indie / Alternative,folk pop
