id,artist,title,total,releasedate,unique_listener,year,recency,log_total,log_total_norm,unique_norm,recency_norm,songscore,genre,track_id,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mode,duration_ms,unnamed: 24,explicit
1,The Weeknd,Blinding Lights,4983733373,3/20/2020,2180511,2020,0.9375,22.32944512,1,0.569711885,0.9375,85.84135654,"acoustic rock, folk rock, jazz fusion",0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,0.334,171.005,0.00146,-5.934,0.0598,1,200040,,FALSE
2,Ed Sheeran,Shape of You,4026397140,3/3/2017,1237055,2017,0.9,22.1161378,0.979299051,0.32321068,0.9,76.66127296,soft pop,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,0.931,95.977,0.581,-3.183,0.0802,0,233712,,FALSE
3,Harry Styles,As It Was,3952254943,5/20/2022,1842227,2022,0.9625,22.09755212,0.977495357,0.481326826,0.9625,82.56457264,"pop, rock, soft rock, soul, synth-pop",4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,0.662,173.93,0.342,-5.338,0.0557,0,167303,,FALSE
4,Lewis Capaldi,Someone You Loved,3863377350,5/17/2019,994310,2019,0.925,22.0748076,0.975288057,0.259787547,0.925,75.05802927,soft pop,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,0.446,109.891,0.751,-5.679,0.0319,1,182160,,FALSE
5,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3602534519,12/14/2018,1637471,2018,0.9125,22.00490347,0.968504034,0.427829259,0.9125,79.51007946,"country, r&b, cloud rap, alternative r&b, contemporary r&b",3KkXRkHbMCARz0aVfEt68P,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
6,The Neighbourhood,Sweater Weather,3451043220,4/22/2013,2698243,2013,0.85,21.96194241,0.964334769,0.704982169,0.85,86.36620351,"alternative rock, indie pop",2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,0.398,124.053,0.0495,-2.81,0.0336,1,240400,,FALSE
7,Billie Eilish,lovely,3370150610,4/19/2018,87015,2018,0.9125,21.93822327,0.962032885,0.022734297,0.9125,67.03367319,"art pop, indie pop, alternative pop, dark pop, electronic",0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,0.12,115.284,0.934,-10.109,0.0333,0,200185,,FALSE
8,Imagine Dragons,Believer,3327246512,6/23/2017,1166235,2017,0.9,21.92541093,0.960789479,0.304707204,0.9,75.18069005,"pop, electropop, rock, alternative rock, indie pop",0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,0.666,124.949,0.0622,-4.374,0.128,0,204346,,FALSE
9,Ed Sheeran,Perfect,3331984067,6/27/2024,969875,2024,0.9875,21.92683378,0.960927563,0.253403299,0.9875,75.39847713,soft pop,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,0.168,95.05,0.163,-6.312,0.0232,1,263400,,FALSE
10,The Weeknd,Starboy,3322003875,11/25/2016,2131976,2016,0.8875,21.92383401,0.960636443,0.557030916,0.8875,82.49274965,"hypnagogic pop, pop, r&b, alternative r&b, synth-pop",7MXVkk9YMctZqd1Srtv4MB,0.679,0.587,0.486,186.003,0.141,-7.015,0.276,1,230453,,TRUE
21,The Kid LAROI,Stay,3261615570,7/9/2021,38001,2021,0.95,21.90548848,0.958856055,0.009928178,0.95,67.24064809,"emo rap, pop rap, rap",5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,0.478,169.928,0.0383,-5.484,0.0483,1,141805,,TRUE
22,Billie Eilish,BIRDS OF A FEATHER,3032131526,5/17/2024,2006644,2024,0.9875,21.83253168,0.951775777,0.524284832,0.9875,83.06733384,"dark pop, alternative r&b, electronic, electropop, pop rock",6dOtVTDdiauQNBQEDOtlAB,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
23,Glass Animals,Heat Waves,3002545699,8/7/2020,1414443,2020,0.9375,21.82272633,0.950824192,0.36955768,0.9375,77.37794002,"indie pop, psychedelic rock, psychedelic pop, indie rock, pop",3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,0.531,80.87,0.44,-6.9,0.0944,1,238805,,FALSE
24,Lady Gaga,Die With A Smile,2963814968,8/16/2024,1585624,2024,0.9875,21.80974312,0.949564203,0.414282949,0.9875,79.65669862,"art pop, pop",2plbrEY59IikOBgBGLjaoe,0.572,0.385,0.323,119.947,0.371,-5.487,0.0308,1,204280,,0
25,Drake,One Dance,2856535440,5/6/2016,1725791,2016,0.8875,21.77287534,0.945986277,0.450905043,0.8875,78.57646512,rap,1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,0.37,103.967,0.00776,-5.609,0.0536,1,173986,,FALSE
26,Tom Odell,Another Love,2802580638,6/24/2013,1345942,2013,0.85,21.75380649,0.944135691,0.3516601,0.85,74.75658758,"indie folk, indie pop",3JvKfv6T31zO0ini8iNItO,0.445,0.537,0.131,122.769,0.695,-8.532,0.04,0,244360,,TRUE
27,Arctic Monkeys,I Wanna Be Yours,2793423185,9/9/2013,2383996,2013,0.85,21.75053363,0.943818069,0.622877371,0.85,82.87722458,"indie, garage rock",5XeFesFbtLpXzIVDNQP22n,0.464,0.417,0.479,67.528,0.136,-9.345,0.0256,0,183956,,FALSE
28,Taylor Swift,Cruel Summer,2650913479,8/23/2019,1596156,2019,0.925,21.69817013,0.93873632,0.417034694,0.925,77.94785682,"synth-pop, country, alternative pop, electropop, contemporary country",1BxfuPKGuaTgP7aM0Bbdwr,0.76,0.703,0.57,119.947,0.103,-5.487,0.054,1,204280,,0
29,Harry Styles,Watermelon Sugar,2600844950,12/13/2019,1404288,2019,0.925,21.67910221,0.936885826,0.366904435,0.925,76.35142435,"pop, rock, soft rock, soul, synth-pop",6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0.557,95.39,0.122,-4.209,0.0465,1,174000,,FALSE
30,James Arthur,Say You Won't Let Go,2581216939,10/28/2016,884575,2016,0.8875,21.67152681,0.936150652,0.231116565,0.8875,71.49102954,soft pop,5uCax9HTNlzGybIStD3vDh,0.358,0.557,0.494,85.043,0.695,-7.398,0.059,1,211466,,FALSE
31,Coldplay,Yellow,2588953124,7/10/2000,3375560,2000,0.6875,21.67451943,0.936441079,0.881947981,0.6875,87.03049335,"piano rock, dream pop, post-britpop, art pop, rock",3AJwUDP919kvQ9QcozQPxg,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
32,Tones And I,Dance Monkey,2538070349,10/17/2019,716120,2019,0.925,21.65466992,0.934514733,0.187103532,0.925,70.8388426,"dance-pop, electropop, indie pop, pop soul",2XU0oxnq2qxCpomAAuJY8K,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
33,Sabrina Carpenter,Espresso,2523306461,4/12/2024,1973241,2024,0.9875,21.64883597,0.933948562,0.515557473,0.9875,81.91415226,pop,2HRqTpkrJO5ggZyyK6NPWz,0.661145833,0.641541667,0.483291667,119.947,0.196785937,-5.487,0.09895625,1,204280,,0
34,Vance Joy,Riptide,2485834943,9/8/2014,1951098,2014,0.8625,21.63387443,0.932496582,0.509772067,0.8625,79.16799108,folk pop,7yq4Qj7cqayVTp3FF9CWbm,0.484,0.731,0.51,101.654,0.431,-6.694,0.0379,1,204280,,FALSE
35,Miley Cyrus,Flowers,2459389429,8/18/2023,1116518,2023,0.975,21.62317896,0.931458612,0.291717408,0.975,74.82445286,"pop rock, contemporary r&b, electropop, teen pop, rock",7DSAEUvxU8FajXtRloy8M0,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
36,Benson Boone,Beautiful Things,2469636608,1/18/2024,857167,2024,0.9875,21.62733685,0.931862126,0.223955548,0.9875,73.06177273,"pop, pop rock",3xkHsmpQCBMytMJNiDf3Ii,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
37,SZA,Kill Bill,2413447813,12/9/2022,2038216,2022,0.9625,21.60432219,0.929628609,0.532533798,0.9625,81.70744441,r&b,1Qrg8KqiBpW07V7PNxwwwL,0.65825,0.54675,0.3925,119.947,0.256625,-5.487,0.10495,1,204280,,0
38,The Chainsmokers,Something Just Like This,2390174506,2/22/2017,1114354,2017,0.9,21.59463222,0.928688221,0.29115201,0.9,73.16897137,"dance-pop, electronic, electropop",6RUKPb4LETWmmr3iAEQktW,0.617,0.635,0.446,103.019,0.0498,-6.769,0.0317,0,247160,,FALSE
39,The Weeknd,Die For You,588484750,11/25/2016,1818625,2016,0.8875,20.19306157,0.79266925,0.47516022,0.8875,71.63826911,"synth-pop, contemporary r&b, r&b, hypnagogic pop, pop",2LBqCSwhJGcFQeTHMVGwy3,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
40,Jung Kook,Seven,2353289191,11/3/2023,3919,2023,0.975,21.57907984,0.927178902,0.001023413,0.975,65.88964749,k-pop,2HRgqmZQC0MC7GeNuDIXHN,0.672707317,0.731365854,0.54025,119.947,0.139676829,-5.487,0.101746341,1,204280,,0
41,OneRepublic,Counting Stars,2338993893,1/1/2013,1858310,2013,0.85,21.57298671,0.926587579,0.485528908,0.85,77.89524617,soft pop,2tpWsVSb9UEmDRxAl1zhX1,0.664,0.705,0.477,122.016,0.0654,-4.972,0.0382,0,257266,,FALSE
42,The Chainsmokers,Closer,2117566874,7/29/2016,1221447,2016,0.8875,21.47353357,0.916935896,0.319132704,0.8875,73.17077593,"dance-pop, electronic, electropop",7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,0.661,95.01,0.414,-5.599,0.0338,1,244960,,FALSE
43,Dua Lipa,Don't Start Now,2095527045,3/27/2020,1448362,2020,0.9375,21.46307093,0.915920524,0.378419858,0.9375,75.8986219,pop,3PfIrDoz19wz7qK7tYeu62,0.793,0.793,0.679,123.95,0.0123,-4.521,0.083,0,183290,,FALSE
44,Hozier,Take Me To Church,2082227137,9/19/2014,2072630,2014,0.8625,21.4567039,0.915302619,0.541525306,0.8625,79.26089011,"chamber pop, alternative/indie rock, r&b, folk rock, pop rock",3dYD57lRAUcMHufyqn9GcI,0.566,0.664,0.437,128.945,0.634,-5.303,0.0464,0,241688,,FALSE
45,Shawn Mendes,Señorita,2072961200,6/21/2019,859318,2019,0.925,21.45224395,0.914869792,0.22451755,0.925,70.97901609,"folk pop, pop, pop rock, pop soul, teen pop",6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,0.749,116.967,0.0392,-6.049,0.029,0,190799,,FALSE
46,Post Malone,rockstar,2072812831,6/27/2024,256302,2024,0.9875,21.45217238,0.914862846,0.066964711,0.9875,67.50208363,"cloud rap, pop rap, r&b, contemporary r&b, alternative r&b",0e7ipj03S05BNilyu5bRzt,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
47,Lord Huron,The Night We Met,2069959610,4/6/2015,1672754,2015,0.875,21.45079493,0.914729168,0.437047815,0.875,76.34789286,soft pop,3hRV0jL3vUpRrcy398teAU,0.544,0.369,0.102,87.01,0.969,-9.514,0.038,1,208211,,FALSE
48,The Weeknd,One Of The Girls,2050965604,6/23/2023,108124,2023,0.975,21.44157655,0.913834546,0.028249546,0.975,66.03921369,"contemporary r&b, alternative r&b, pop, synth-pop, r&b",7CyPwkp0oE8Ro9Dd5CUDjW,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
49,Teddy Swims,Lose Control,2000543529,6/23/2023,752455,2023,0.975,21.41668475,0.911418859,0.196596949,0.975,70.9688514,"alternative rock, pop soul, soul, pop, country",17phhZDn6oGtzMe56NuWvj,0.644666667,0.700333333,0.403333333,119.947,0.062233333,-5.487,0.047433333,1,204280,,0
